Video Title,Piano Title, Song URL,Piano Cover URL
Adele - Hello (Official Music Video),Adele - Hello | Piano Cover by Pianella Piano,YQHsXMglC9A,13EIb6xJAD4
Adele - Rolling in the Deep (Official Music Video),Adele - Rolling in the Deep | Piano Cover by Pianella Piano,rYEDA3JcQqw,gKooKVUwpwo
Adele - Someone Like You (Official Music Video),Adele - Someone Like You (Piano Cover by Riyandi Kusuma),hLQl3WQQoQ0,LhPZzo8apa0
Adele - Send My Love (To Your New Lover),Adele (25) - Send My Love (To Your New Lover) Piano Cover,fk4BbF7B29w,O9EpSwKJ3lg
Adele - Easy On Me (Official Video),Adele - Easy On Me (Piano Cover by Riyandi Kusuma),U3ASj1L6_sY,K8a0at_zWpk
Adele - Chasing Pavements (Official Music Video),"[PIANO COVER] Chasing Pavements, ADELE ADKINS, Francis Eg White",08DjMT-qR9g,wV8fNlFok6s
Adele - Hometown Glory (Official Music Video),Hometown Glory - Adele [Piano Tutorial],BW9Fzwuf43c,MM3nZzhqV3c
